sample_id,subject,task,repeat_id,label_task,window_id,window_start_sec,window_end_sec,progress_end_ratio,task_required_time_min,elapsed_required_ratio,anchor_source,task_difficulty,nasa_tlx_weighted_task_label,hr_n,hr_mean,hr_std,hr_min,hr_max,hr_slope_bpm_per_min,eeg_frontal_delta_power,eeg_frontal_theta_power,eeg_frontal_alpha_power,eeg_frontal_beta_power,eeg_frontal_gamma_power,eeg_frontal_theta_alpha,eeg_frontal_beta_alpha,eeg_central_delta_power,eeg_central_theta_power,eeg_central_alpha_power,eeg_central_beta_power,eeg_central_gamma_power,eeg_central_theta_alpha,eeg_central_beta_alpha,eeg_parietal_delta_power,eeg_parietal_theta_power,eeg_parietal_alpha_power,eeg_parietal_beta_power,eeg_parietal_gamma_power,eeg_parietal_theta_alpha,eeg_parietal_beta_alpha,eeg_occipital_delta_power,eeg_occipital_theta_power,eeg_occipital_alpha_power,eeg_occipital_beta_power,eeg_occipital_gamma_power,eeg_occipital_theta_alpha,eeg_occipital_beta_alpha,eye_n,eye_pupil_filtered_mean,eye_pupil_filtered_std,eye_valid_ratio,eye_fixation_ratio,eye_saccade_ratio,eye_eyes_not_found_ratio,eye_aoi_interval_n,eye_aoi_unique_hit_n,eye_aoi_total_fix_ms,eye_aoi_fixation_n,eye_aoi_fixation_density_per_sec,eye_aoi_coverage_ratio,eye_aoi_max_share,eye_aoi_entropy,eye_aoi_pupil_weighted_mean,log_action_count_win,log_unique_device_count_win,log_action_density_win,log_correct_action_count_win,log_error_action_count_win,log_duplicate_action_count_win,log_extra_action_count_win,log_disallowed_action_count_win,log_error_rate_win,log_duplicate_rate_win,log_extra_rate_win,log_unique_step_count_win,log_action_count_cum,log_unique_device_count_cum,log_action_density_cum,log_correct_action_count_cum,log_error_action_count_cum,log_duplicate_action_count_cum,log_extra_action_count_cum,log_disallowed_action_count_cum,log_error_rate_cum,log_duplicate_rate_cum,log_extra_rate_cum,log_unique_step_count_cum,log_time_since_last_action_sec,log_cum_gap_count,log_cum_idle_gap_total_sec,log_cum_idle_ratio,log_cum_mean_inter_action_sec,log_action_type_diversity_cum,log_recent_60s_action_count,log_recent_60s_action_density
subject_14_task_5_6,14,5_6,,5_6,1,0.0,10.0,0.0142496924626919,18.0,0.0092592592592592,eye,高,4.733333333333333,0,,,,,,4.510452792476607,1.3087988914218611,0.7054284605187348,2.937527207375087,2.6856246148693734,1.8553247631367749,4.164174500721144,1.490284470756581,1.0252484672460576,0.4872027144940269,1.0194793068535526,0.5611465578362785,2.1043570504544613,2.092515654212455,3.2231272836694846,1.4607963204058187,1.0361563979695665,1.2324419896284826,0.5544009024856562,1.4098222269035534,1.189436258892532,3.6948468639087984,2.350337468977806,1.1984601983241625,2.1439416247153753,0.962764741276628,1.9611310181717705,1.788913497263659,992,2.3609646408839775,0.2188325087594226,0.8881048387096774,0.7600806451612904,0.1098790322580645,0.094758064516129,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_14_task_5_6,14,5_6,,5_6,2,10.0,20.0,0.0284993849253839,18.0,0.0185185185185185,eye,高,4.733333333333333,0,,,,,,2.5828064418507326,1.3285643364055824,0.6248423824766736,3.106491519760352,3.019565302269384,2.1262391503271307,4.971640219805869,2.099622232648055,1.3308097793201803,0.544941728315831,1.047824212162731,0.582439727076819,2.442113918185552,1.9228188221171516,2.85035510881304,1.7013361819914097,0.9911049353807246,1.3027842573962134,0.4996738450524456,1.7166054988292996,1.3144766117986888,3.2051186306455297,3.4406578442249813,1.309615098123636,2.406405065252129,0.7704926957327675,2.627228297195579,1.8374903196366088,998,2.437049382716049,0.2934886534976325,0.9438877755511024,0.8016032064128257,0.1242484969939879,0.0420841683366733,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_14_task_5_6,14,5_6,,5_6,3,20.0,30.0,0.0427490773880759,18.0,0.0277777777777777,eye,高,4.733333333333333,1,74.0,,74.0,74.0,,2.4996790866802017,1.3200294235114205,0.5921329075938435,3.406381555594894,2.5704218862758266,2.2292789449507446,5.752731374847694,1.6173860380273186,1.033974930611479,0.5523564583288115,1.0832661221953683,0.5126467290769332,1.8719341740654825,1.961172184847547,2.521025200438888,1.5082804403057275,0.8053043244092193,1.2069211246641776,0.4951516948827599,1.8729322500685937,1.4987143221285806,4.303839628880575,2.701182656671253,1.244632546641472,2.2678182881468056,0.6681984696547443,2.1702651629672944,1.822078567900468,998,2.2473046092184368,0.0924461913421998,0.9879759519038076,0.9178356713426854,0.0711422845691382,0.0090180360721442,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_14_task_5_6,14,5_6,,5_6,4,30.0,40.0,0.0569987698507678,18.0,0.037037037037037,eye,高,4.733333333333333,2,74.5,0.7071067811865476,74.0,75.0,11.999999999999744,3.1146380799285023,1.3928896405213582,0.9085363737339092,3.4629426336177267,2.976602001815182,1.5331137869547815,3.811561907406856,3.3841135498737835,1.358621904477406,0.7567356940054966,1.1137599351454313,0.4853124079233578,1.7953717727864142,1.4717951643725973,3.322360721130619,1.5678522719871868,1.1842192492750687,1.326576870305458,0.5366810838393559,1.3239543884689955,1.1202122167136996,6.2179323903740835,3.099946450522765,1.65554133646813,2.4184568113410982,0.8488614107877014,1.872466958231363,1.4608253856714588,998,2.205432865731463,0.0963501794145899,0.9769539078156312,0.933867735470942,0.0470941883767535,0.0170340681362725,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_14_task_5_6,14,5_6,,5_6,5,40.0,50.0,0.0712484623134598,18.0,0.0462962962962962,eye,高,4.733333333333333,2,70.5,0.7071067811865476,70.0,71.0,-11.999999999999917,2.6505039939583437,1.4450329707393177,0.5512515765870067,2.661612669264547,2.1046341301983835,2.6213675064405755,4.828308493453264,1.7738811711347784,1.1746175947105495,0.4700651027205562,0.8632325350892668,0.4215165154092329,2.4988402413034163,1.8364105952414007,2.8196599028659177,1.5424970746518831,0.6946081154995136,1.2194238550901328,0.4451683846651829,2.2206724053931146,1.7555565906586168,4.717292578266584,3.052886547800044,0.9386942974555832,2.181257083512253,0.6216254021663149,3.2522691957063894,2.323714002977061,998,2.2339799599198393,0.0768979941462033,0.9899799599198396,0.9288577154308616,0.0621242484969939,0.0,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_14_task_5_6,14,5_6,,5_6,6,50.0,60.0,0.0854981547761518,18.0,0.0555555555555555,eye,高,4.733333333333333,2,70.5,0.7071067811865476,70.0,71.0,-11.999999999999917,8.11331175453299,2.228633415058548,0.8135119282613101,4.762097405304349,4.230842523889221,2.7395214964109083,5.8537524034616295,2.3254911838313315,1.6132670253870105,0.6706982483351731,2.5635998892832146,1.2948489922525095,2.405354463637723,3.8222850524012215,4.056696795618865,2.1003031507220915,0.8651901543750737,1.891556033041866,0.9385084111742836,2.42756247294462,2.186289364802279,5.923481978910829,3.162118806111079,1.279700472084137,2.587952091048987,1.284397376571687,2.470983542704498,2.022310804366755,998,2.2519468937875753,0.0857757694997285,0.9869739478957916,0.8867735470941884,0.0981963927855711,0.0100200400801603,6,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_14_task_5_6,14,5_6,,5_6,7,60.0,70.0,0.0997478472388437,18.0,0.0648148148148148,eye,高,4.733333333333333,2,82.5,6.363961030678928,78.0,87.0,107.99999999999984,2.603493879775822,3.6739366904263377,0.6637142199352456,4.497541802029259,4.494199134493112,5.535419582821023,6.776322801202083,1.556743625122771,2.205979553132345,0.5198509621307944,1.1823332079456677,0.7582463463042132,4.2434846019912165,2.2743695675765485,2.5382169402784713,2.5753260133558684,0.6897138227970364,1.3787718228207066,0.6231701314235896,3.7339051766600817,1.9990491378428423,4.42515936518351,3.9358151035124256,0.9210829955104418,2.4323524225621687,0.8459595570389377,4.273029816744464,2.6407527165499545,999,2.2219419419419424,0.0692748340879171,0.991991991991992,0.971971971971972,0.022022022022022,0.005005005005005,6,2,1060.0399659863938,0.5440287226001508,0.054402872260015,0.1060039965986393,0.8611752630228381,0.4028242923322844,2.205114267385168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_14_task_5_6,14,5_6,,5_6,8,70.0,80.0,0.1139975397015357,18.0,0.074074074074074,eye,高,4.733333333333333,2,83.0,9.899494936611664,76.0,90.0,-93.33333333333344,2.8136649180671167,1.2961180452620191,0.575781876685194,2.90040065841745,2.6535646414672365,2.2510573843064283,5.037325375913543,2.033389606509586,1.0767983352995516,0.4636141948215866,1.0400370609293317,0.4541840590068709,2.322617269546584,2.2433244550020097,2.6336614590504244,1.531173328191317,0.8379012701197843,1.2992721371384368,0.5292577234626457,1.8273911053654617,1.5506267665075817,5.639569834304677,3.004867784393722,1.3811445122245798,2.3225867396697226,0.7394310742475915,2.175636045176653,1.681639190622263,998,2.2896763527054107,0.0629548281953271,0.9829659318637276,0.937875751503006,0.0460921843687374,0.0130260521042084,6,2,1840.9863945578231,0.944822373393802,0.0944822373393802,0.1840986394557823,0.8611752630228381,0.4028242923322844,2.205114267385168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_14_task_5_6,14,5_6,,5_6,9,80.0,90.0,0.1282472321642277,18.0,0.0833333333333333,eye,高,4.733333333333333,2,71.0,2.8284271247461903,69.0,73.0,-48.0,2.4928013726370084,1.64332552382089,0.6543273087882462,3.3504787563901584,2.7209763244987313,2.5114732363290435,5.120493538004605,1.628231199416618,1.2962366480180902,0.5203446947019109,1.0639139466541312,0.5096330187334542,2.491111490548901,2.0446330240065462,2.8627198806031253,1.5752799788739682,0.925663417099066,1.2435709959557304,0.5196357935632093,1.7017848494118235,1.343437552985462,3.4625852490666102,3.284498188991833,1.1886167291620429,2.1334430271202605,0.7177420023134559,2.7632945998558807,1.7948956756012564,998,2.2218046092184367,0.0269978062706561,1.0,0.9749498997995992,0.0230460921843687,0.0,6,2,995.9736394557816,0.5111489040060465,0.0511148904006046,0.0995973639455781,0.8611752630228381,0.4028242923322844,2.205114267385168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_14_task_5_6,14,5_6,,5_6,10,90.0,100.0,0.1424969246269196,18.0,0.0925925925925925,eye,高,4.733333333333333,2,69.0,0.0,69.0,69.0,-1.0658141036401505e-13,2.5551130675295095,1.809189078486882,0.8101331153875923,2.7250934273210774,2.23016467413233,2.233199759549776,3.363760072957035,1.8199288319929323,1.6929335085099315,0.5772929054926483,1.0929038797738924,0.4718528572018177,2.932538218298771,1.8931531452672776,2.693828618829002,1.846778778068576,1.014918223448852,1.293244413096033,0.5480675466513407,1.8196330851099816,1.274235089307378,4.94534589294956,5.195207834935423,1.7168188302893626,2.6735206107741356,0.7686361712542994,3.0260664336141936,1.5572526137329965,998,2.131577194752775,0.0601963441002169,0.9909819639278558,0.9779559118236472,0.0150300601202404,0.0070140280561122,6,1,562.9089236430519,0.3624655013799433,0.0362465501379943,0.0562908923643051,1.0,-1.000088900581841e-12,2.19645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
