sample_id,subject,task,repeat_id,label_task,window_id,window_start_sec,window_end_sec,progress_end_ratio,task_required_time_min,elapsed_required_ratio,anchor_source,task_difficulty,nasa_tlx_weighted_task_label,hr_n,hr_mean,hr_std,hr_min,hr_max,hr_slope_bpm_per_min,eeg_frontal_delta_power,eeg_frontal_theta_power,eeg_frontal_alpha_power,eeg_frontal_beta_power,eeg_frontal_gamma_power,eeg_frontal_theta_alpha,eeg_frontal_beta_alpha,eeg_central_delta_power,eeg_central_theta_power,eeg_central_alpha_power,eeg_central_beta_power,eeg_central_gamma_power,eeg_central_theta_alpha,eeg_central_beta_alpha,eeg_parietal_delta_power,eeg_parietal_theta_power,eeg_parietal_alpha_power,eeg_parietal_beta_power,eeg_parietal_gamma_power,eeg_parietal_theta_alpha,eeg_parietal_beta_alpha,eeg_occipital_delta_power,eeg_occipital_theta_power,eeg_occipital_alpha_power,eeg_occipital_beta_power,eeg_occipital_gamma_power,eeg_occipital_theta_alpha,eeg_occipital_beta_alpha,eye_n,eye_pupil_filtered_mean,eye_pupil_filtered_std,eye_valid_ratio,eye_fixation_ratio,eye_saccade_ratio,eye_eyes_not_found_ratio,eye_aoi_interval_n,eye_aoi_unique_hit_n,eye_aoi_total_fix_ms,eye_aoi_fixation_n,eye_aoi_fixation_density_per_sec,eye_aoi_coverage_ratio,eye_aoi_max_share,eye_aoi_entropy,eye_aoi_pupil_weighted_mean,log_action_count_win,log_unique_device_count_win,log_action_density_win,log_correct_action_count_win,log_error_action_count_win,log_duplicate_action_count_win,log_extra_action_count_win,log_disallowed_action_count_win,log_error_rate_win,log_duplicate_rate_win,log_extra_rate_win,log_unique_step_count_win,log_action_count_cum,log_unique_device_count_cum,log_action_density_cum,log_correct_action_count_cum,log_error_action_count_cum,log_duplicate_action_count_cum,log_extra_action_count_cum,log_disallowed_action_count_cum,log_error_rate_cum,log_duplicate_rate_cum,log_extra_rate_cum,log_unique_step_count_cum,log_time_since_last_action_sec,log_cum_gap_count,log_cum_idle_gap_total_sec,log_cum_idle_ratio,log_cum_mean_inter_action_sec,log_action_type_diversity_cum,log_recent_60s_action_count,log_recent_60s_action_density,blink_count_raw,blink_total_ms_raw,blink_count,blink_rate_per_min,blink_duration_mean_ms,blink_duration_std_ms,blink_duration_median_ms,blink_total_duration_ratio,eeg_frontal_delta_power_z_within_subject,eeg_frontal_theta_power_z_within_subject,eeg_frontal_alpha_power_z_within_subject,eeg_frontal_beta_power_z_within_subject,eeg_frontal_gamma_power_z_within_subject,eeg_frontal_theta_alpha_z_within_subject,eeg_frontal_beta_alpha_z_within_subject,eeg_central_delta_power_z_within_subject,eeg_central_theta_power_z_within_subject,eeg_central_alpha_power_z_within_subject,eeg_central_beta_power_z_within_subject,eeg_central_gamma_power_z_within_subject,eeg_central_theta_alpha_z_within_subject,eeg_central_beta_alpha_z_within_subject,eeg_parietal_delta_power_z_within_subject,eeg_parietal_theta_power_z_within_subject,eeg_parietal_alpha_power_z_within_subject,eeg_parietal_beta_power_z_within_subject,eeg_parietal_gamma_power_z_within_subject,eeg_parietal_theta_alpha_z_within_subject,eeg_parietal_beta_alpha_z_within_subject,eeg_occipital_delta_power_z_within_subject,eeg_occipital_theta_power_z_within_subject,eeg_occipital_alpha_power_z_within_subject,eeg_occipital_beta_power_z_within_subject,eeg_occipital_gamma_power_z_within_subject,eeg_occipital_theta_alpha_z_within_subject,eeg_occipital_beta_alpha_z_within_subject
subject_19_task_5_repeat_1,19,5,1.0,5,23,110.0,140.0,0.6269899583639481,12.0,0.1944444444444444,hr_first,低,3.8666666666666663,6,80.0,1.2649110640673518,79.0,82.0,5.677179962894335,7.338904475200595,3.347160414727744,2.020806034332878,8.716771067230518,9.657629937448036,1.6563491784270776,4.313511994291009,5.101951738035417,3.2563078664680827,1.8346701617555248,6.680672395087778,7.830443894036872,1.7748737262681853,3.641347929643823,8.964880534931918,4.949389473159056,3.7203980539820023,6.002705183686332,4.412656179435316,1.3303386899317515,1.6134577796753595,14.053609850924031,12.330645409887396,7.801210965466164,14.531752486516275,10.213647811969947,1.5806065833204366,1.8627559940173888,2994,3.009730460921844,0.1621186135684006,0.9792919171676688,0.8804275217100869,0.0921843687374749,0.0110220440881763,12,4,3995.862654783523,4.470215438552866,0.1490071812850955,0.1331954218261174,0.4013023612673231,1.2679539718478934,2.9659222676655626,12.0,3.0,0.4,4.0,4.0,4.0,0.0,8.0,0.6666666666666666,0.3333333333333333,0.0,1.0,34.0,5.0,0.2428571428571428,9.0,12.0,4.0,9.0,25.0,0.7352941176470589,0.1176470588235294,0.2647058823529412,4.0,4.0,4.0,67.0,0.4785714285714286,2.787878787878788,2.0,17.0,0.2833333333333333,6,330.0,6,12.0,55.0,5.477225575051661,55.0,0.011,-1.0836684039946034,-1.0318839486199547,-1.3281778547245378,-0.011799137214161735,0.26636872729835476,0.08001746790473646,1.6390455515634998,-1.6152080196100718,-1.0779863210294125,-1.1968368464463797,0.21792328080352544,0.4144475519740233,0.12421245038287061,1.2732362684626692,-2.108706128029816,-0.07616599579086307,0.8288101708706602,0.47238651763294126,1.301295092997089,-0.8314408971612333,0.05648431436736795,-1.1588766870461789,0.22301228378433674,-0.6906703916138287,-0.20644237213977362,0.15933324548556452,0.8544368094887094,0.5804306367425887
subject_19_task_5_repeat_1,19,5,1.0,5,24,115.0,145.0,0.6493824568769462,12.0,0.2013888888888889,hr_first,低,3.8666666666666663,6,80.16666666666667,1.3291601358251257,79.0,82.0,1.5056720522516491,7.17782428958247,3.146148119305111,2.066190742243762,9.036424810967793,9.734469992346355,1.5226803871401429,4.373470767347821,5.063864431022917,3.0538259609782923,1.8794087013418872,6.796112162990994,7.639810943864848,1.6248865713976302,3.616090613041542,9.142482808501272,4.617209272194117,3.7075812232775767,6.340781703862035,4.643481773155408,1.2453427164873845,1.7102205783253632,17.71706070821271,11.808644005234989,8.676896393516326,15.86218624197783,11.662890131217722,1.360929469442416,1.828094461728343,2994,3.056256179024716,0.1399298193035832,0.9819639278557114,0.8924515698062793,0.083500334001336,0.0110220440881763,12,4,4066.301421529539,4.7193498415075545,0.1573116613835851,0.1355433807176513,0.5828009213698307,1.11283938932782,3.001040220911414,12.0,3.0,0.4,4.0,4.0,4.0,0.0,8.0,0.6666666666666666,0.3333333333333333,0.0,1.0,34.0,5.0,0.2344827586206896,9.0,12.0,4.0,9.0,25.0,0.7352941176470589,0.1176470588235294,0.2647058823529412,4.0,9.0,4.0,67.0,0.4620689655172413,2.787878787878788,2.0,13.0,0.2166666666666666,6,330.0,6,12.0,55.0,5.477225575051661,55.0,0.011,-1.1169613856876333,-1.2402766452802867,-1.2341436952517115,0.11000658149959151,0.286852966854632,-0.476204538161992,1.732170412638043,-1.639207323606076,-1.384239027171712,-1.0840381236241625,0.2635318497673976,0.36344184513745087,-0.4416114717365715,1.24251835068543,-1.9948886540233317,-0.8564029309960769,0.7873814679013332,0.8232405278871585,1.5304707068749372,-1.4466083450154503,0.4842220469935335,0.40900840719428405,-0.16388097976408808,-0.1490553882368124,0.20001133661625992,0.6572047035136989,-0.09005979905158731,0.44434023769980124
subject_19_task_5_repeat_1,19,5,1.0,5,25,120.0,150.0,0.6717749553899444,12.0,0.2083333333333333,hr_first,低,3.8666666666666663,6,80.0,1.5491933384829668,78.0,82.0,-4.085447263017364,6.6605851507255185,3.117131435087313,2.226487601986794,8.87286084527267,9.149198360289423,1.4000219144745103,3.985138222802149,5.114110440705976,3.3186454407203936,2.0656829871937363,6.460392472916577,7.262341381032798,1.6065608620947336,3.1274849591965337,9.021372633229214,4.816214431685383,3.8010757883000656,6.533481697185592,4.804043490143139,1.2670661412513724,1.7188506783516475,15.410109444868112,12.251703146949325,9.214529923464752,16.923005698843014,12.749762441525116,1.329606962993351,1.8365565947915223,2995,3.098630050083473,0.1448515768772013,0.9776293823038398,0.8951585976627713,0.0848080133555926,0.010016694490818,12,4,4136.740188275556,4.968484244462244,0.1656161414820748,0.1378913396091852,0.7581185108732986,0.8173676436781541,3.0349622250743176,13.0,3.0,0.4333333333333333,4.0,5.0,4.0,0.0,9.0,0.6923076923076923,0.3076923076923077,0.0,1.0,35.0,5.0,0.2333333333333333,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,2.0,5.0,79.0,0.5266666666666666,3.0588235294117645,2.0,14.0,0.2333333333333333,5,300.0,5,10.0,60.0,7.0710678118654755,60.0,0.01,-1.2238673537606262,-1.2703587109547994,-0.9020190399235972,0.047679683136903024,0.13082959685037965,-0.9866104531874815,1.1290324160136975,-1.6075466640437148,-0.9837011019974367,-0.6143870859958782,0.13089389566022996,0.26244617862666647,-0.5107448900105207,0.6482767478799436,-2.0725028306265685,-0.38897237589240663,1.0895902317438375,1.023223553618709,1.6898847019302943,-1.2893827350344966,0.5223712062683898,-0.5783214737950758,0.16450242256979508,0.18347313948688249,0.5240966214291309,1.0305878808032063,-0.22473018227844765,0.47756482384093935
subject_19_task_5_repeat_1,19,5,1.0,5,26,125.0,155.0,0.6941674539029425,12.0,0.2152777777777778,hr_first,低,3.8666666666666663,5,80.2,1.6431676725154982,78.0,82.0,-10.988372093023273,7.525000649010427,3.0628696373788915,2.299169499010073,8.664926296103674,8.599148937023546,1.3321634784636958,3.768720096467195,5.539660993543877,3.059975410553532,2.0645334102466073,6.054453524151277,6.81054507189711,1.4821631829092172,2.932601378162282,10.041183742542362,4.300978296557497,3.522263962176397,6.498269955200515,4.832951961194827,1.221083468684708,1.8449128245304056,18.49337358022254,11.156822699531,9.453583677317546,18.57584442661855,13.860787634442136,1.1801686091064196,1.964952663526795,2995,3.123284808013356,0.135393577622097,0.9809682804674458,0.9068447412353924,0.0764607679465776,0.008347245409015,6,3,4300.368063258468,5.313239251002139,0.1771079750334046,0.1433456021086156,0.9074652100403172,0.3593185574145469,3.0638591507348156,13.0,3.0,0.4333333333333333,4.0,5.0,4.0,0.0,9.0,0.6923076923076923,0.3076923076923077,0.0,1.0,35.0,5.0,0.2258064516129032,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,7.0,5.0,79.0,0.5096774193548387,3.0588235294117645,2.0,13.0,0.2166666666666666,4,250.0,4,8.0,62.5,5.0,60.0,0.008333333333333333,-1.0452049735980065,-1.3266127939516654,-0.7514268821224559,-0.03155485643341013,-0.0158041369344306,-1.2689826886441753,0.7929029903855381,-1.3394017652754062,-1.3749380204020094,-0.6172855000393609,-0.02948666362334575,0.14156366554156918,-0.9800329620461019,0.4112595733079064,-1.4189508118769523,-1.5991777457831662,0.18836803452587492,0.9866809955106203,1.7185865304093955,-1.622187245437168,1.0796260328007161,0.7412550860516176,-0.6469932280580135,0.3313288597636992,1.029046550820323,1.4122685185799835,-0.8672368865062896,0.9816819553051661
subject_19_task_5_repeat_1,19,5,1.0,5,27,130.0,160.0,0.7165599524159406,12.0,0.2222222222222222,hr_first,低,3.8666666666666663,4,79.75,1.5,78.0,81.0,-11.571428571428504,7.363267895164705,3.2670779932921423,2.1235460079673274,8.224675167067783,7.852328789836857,1.5385011584559034,3.8730854599851585,5.500107437813033,3.3305861057785413,2.060586302409907,5.7086650924699365,6.381462640400758,1.6163293436840465,2.7704081531520957,9.925948948634296,4.548338901635504,3.4786583223475662,6.272626342976768,4.294838157295406,1.3074980294604115,1.8031740291020295,15.299132241475808,11.707501451101669,8.159241601660517,17.654763717900803,12.65281835384485,1.434876183678521,2.16377508839888,2995,3.125034724540902,0.1374257805260314,0.9789649415692822,0.9048414023372288,0.0787979966611018,0.0090150250417362,6,3,5066.608094009115,6.259952775794849,0.2086650925264949,0.1688869364669705,0.9074652100403172,0.3593185574145469,3.063859150734816,9.0,2.0,0.3,0.0,5.0,4.0,0.0,9.0,1.0,0.4444444444444444,0.0,1.0,35.0,5.0,0.21875,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,12.0,5.0,79.0,0.49375,3.0588235294117645,2.0,13.0,0.2166666666666666,5,270.0,4,8.0,62.5,5.0,60.0,0.008333333333333333,-1.0786328318555962,-1.1149066897063447,-1.1153073194784826,-0.1993148349645322,-0.21489356783957397,-0.41037121181818287,0.9549978679674316,-1.3643249715235106,-0.9656409154422438,-0.6272372938828296,-0.16610263071771691,0.026758472158802137,-0.47389346382814657,0.21400037003061978,-1.4927997153660852,-1.0181681617202614,0.04741859531448769,0.7525092577164535,1.1843192537297584,-0.9967526200589741,0.8951206446953436,-0.625817539602292,-0.23884509385171276,-0.4692269850891155,0.7476521043962808,0.9972837924257477,0.2278723677351671,1.7623117010953673
subject_19_task_5_repeat_1,19,5,1.0,5,28,135.0,165.0,0.7389524509289388,12.0,0.2291666666666666,hr_first,低,3.8666666666666663,5,78.8,1.3038404810405295,78.0,81.0,-5.7899716177862635,8.399396251530783,3.231180863626191,2.1759286592227323,7.986321347616101,7.413446670396758,1.4849663613421993,3.670304774821483,5.897502009829787,3.2205880620861507,2.0253131244758644,5.920346973031371,6.196037025421493,1.5901679711474808,2.9231761259452225,10.327639020536516,4.380277460210028,3.4731386017848624,6.424799889648113,4.392355864645272,1.2611870594392582,1.849854159677468,16.434571979384327,10.674214388427458,8.605124731746082,18.879344778215497,13.0013334844404,1.2404485374916272,2.1939652668328784,2995,3.117376293823039,0.1313893983049152,0.9859766277128548,0.9215358931552587,0.0684474123539232,0.005008347245409,6,3,5066.608094009115,6.259952775794849,0.2086650925264949,0.1688869364669705,0.9074652100403172,0.3593185574145469,3.063859150734816,5.0,1.0,0.1666666666666666,0.0,1.0,4.0,0.0,5.0,1.0,0.8,0.0,1.0,35.0,5.0,0.2121212121212121,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,17.0,5.0,79.0,0.4787878787878787,3.0588235294117645,2.0,13.0,0.2166666666666666,3,150.0,2,4.0,65.0,7.0710678118654755,65.0,0.004333333333333333,-0.8644798479379795,-1.152121824420989,-1.0067738770812713,-0.29014079541485815,-0.33189200678491504,-0.6331399819871276,0.6400494096896916,-1.1139215198680312,-1.1320123177147896,-0.7161711182237045,-0.08247020643839376,-0.022853961311324802,-0.5725867847958175,0.3997965930082801,-1.2353742421525336,-1.4129169866143272,0.029576831703848734,0.9104341531705972,1.28113988824296,-1.3319332183988837,1.101469091511693,-0.1398716077950835,-1.0046894005860847,-0.1934464533235298,1.1217673217786217,1.117012380191895,-0.6080647455499303,1.8808463750963276
subject_19_task_5_repeat_1,19,5,1.0,5,29,140.0,170.0,0.761344949441937,12.0,0.2361111111111111,hr_first,低,3.8666666666666663,5,78.8,1.3038404810405295,78.0,81.0,-5.7899716177862635,7.760721791087197,3.2220283935146377,2.0283603591413666,7.740029096391611,7.061631923542934,1.5884891355688728,3.815904339438025,5.938168705165139,3.4397860250305285,1.915169237499256,5.794215933389505,6.658246814332813,1.7960741837739886,3.0254328546731135,9.769558750137236,4.586454674152272,3.1377572740880577,6.345407491500739,4.447954713258179,1.4616983639963854,2.022274808794742,15.80111929453193,11.727640953396069,8.191278503231814,18.79854254087454,12.588931713727897,1.431722892680185,2.294946086066748,2995,3.0906726968174203,0.1267824512883725,0.9826377295492488,0.917863105175292,0.0681135225375626,0.0063439065108514,6,3,5066.608094009115,6.259952775794849,0.2086650925264949,0.1688869364669705,0.9074652100403172,0.3593185574145469,3.063859150734816,1.0,0.0,0.0333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,35.0,5.0,0.2058823529411764,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,22.0,5.0,79.0,0.4647058823529412,3.0588235294117645,2.0,13.0,0.2166666666666666,3,191.0,2,4.0,85.5,21.920310216782973,85.5,0.0057,-0.9964847685789544,-1.1616103381640888,-1.3125257856367347,-0.38399173650905727,-0.4256797788462595,-0.20236145395848673,0.8661871129175748,-1.0882969099803939,-0.8004766717507109,-0.9938755290628838,-0.13230274096682387,0.10081477994736547,0.20419080604281364,0.5241611022985948,-1.5930233048200635,-0.928640449216407,-1.0544987660031355,0.8280411456371874,1.3363413070129073,0.11928879238334886,1.8636506172663918,-0.4109769293010826,-0.2239182417408263,-0.4494120310006784,1.097081861936524,0.9753362311096693,0.2143148669054594,2.2773239419449225
subject_19_task_5_repeat_1,19,5,1.0,5,30,145.0,175.0,0.783737447954935,12.0,0.2430555555555555,hr_first,低,3.8666666666666663,3,78.0,0.0,78.0,78.0,8.591190212312288e-14,7.653232344877722,3.018599979856922,1.9417499164976637,7.589909251846375,7.089043485463052,1.554577113257496,3.908798546795512,6.246563889306743,3.470850996066682,1.8774978365857933,5.960827255859073,6.899904055422925,1.8486577872059664,3.174878361883369,9.30048284532366,4.362915289994465,3.2467517886973383,6.21011228958511,4.205510128233161,1.343778512783989,1.9127154441567988,13.249354480400273,11.321716137449192,7.199168025669688,17.81991528474789,10.83048840523851,1.5726422965931557,2.4752742568597332,2995,3.054625125628141,0.1441778433321203,0.9826377295492488,0.9215358931552587,0.064440734557596,0.0063439065108514,6,3,5066.608094009115,6.259952775794849,0.2086650925264949,0.1688869364669705,0.9074652100403172,0.3593185574145469,3.063859150734816,1.0,0.0,0.0333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,35.0,5.0,0.2,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,27.0,5.0,79.0,0.4514285714285714,3.0588235294117645,2.0,13.0,0.2166666666666666,3,191.0,2,4.0,85.5,21.920310216782973,85.5,0.0057,-1.0187013071998492,-1.372507863662878,-1.4919769829775218,-0.44119568270484544,-0.4183723270006504,-0.3434760170379347,1.0104655848369215,-0.8939731219349721,-0.7534910834679404,-1.0888559631416392,-0.06647703697384538,0.1654725339340425,0.40256153158083113,0.7059165466694284,-1.8936333900977083,-1.4536978833629923,-0.7021884737657058,0.687632506387168,1.0956297563178587,-0.7341687419216062,1.3793459581204526,-1.5030822070678924,-0.5247786903857066,-1.0630364016284417,0.7981066772574308,0.371242131572304,0.8201945451464341,2.985340324983738
subject_19_task_5_repeat_1,19,5,1.0,5,31,150.0,180.0,0.8061299464679332,12.0,0.25,hr_first,低,3.8666666666666663,2,78.0,0.0,78.0,78.0,-4.263256414560601e-13,7.797817767293141,3.0830682076172624,1.8126323161588165,7.641815392520098,7.467469925510343,1.7008789814310774,4.215866242920138,6.184414902992575,3.613630622558826,1.7561359432446615,6.164431988585755,7.476338650234154,2.057716907657064,3.5102248275815504,9.426382713431948,4.359773058821087,3.0340138951194735,6.227942142433856,4.253234783947603,1.436965422549394,2.052707191767364,14.082054493749714,11.815320532989269,7.02953775913451,17.296700244330825,10.33947970919895,1.6808104512470805,2.4605743417274746,2994,3.0246722520107236,0.1106925770696753,0.9919839679358716,0.9462257849031396,0.0454241816967267,0.0040080160320641,6,3,5066.608094009115,6.259952775794849,0.2086650925264949,0.1688869364669705,0.9074652100403172,0.3593185574145469,3.063859150734816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.1944444444444444,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,32.0,5.0,79.0,0.4388888888888889,3.0588235294117645,2.0,13.0,0.2166666666666666,2,121.0,1,2.0,101.0,,101.0,0.0033666666666666667,-0.9888175582888105,-1.3056726096121591,-1.7595002431217184,-0.4214165783011242,-0.31749033436522545,0.2653146948653123,1.4873872275628466,-0.9331340007838675,-0.5375377275893796,-1.3948441937529654,0.013964223976376538,0.3197032371092731,1.1912334121200034,1.1137645109806549,-1.8129497103347965,-1.4610784702050157,-1.389835459717887,0.7061362326174723,1.143013268233479,-0.0597185164491363,1.9981762683712536,-1.1467029379678608,-0.15893251872738828,-1.1679534122801611,0.6382620455488218,0.20256142707245534,1.2852609938954962,2.9276245465939748
subject_19_task_5_repeat_1,19,5,1.0,5,32,155.0,185.0,0.8285224449809314,12.0,0.2569444444444444,hr_first,低,3.8666666666666663,3,79.0,1.7320508075688772,78.0,81.0,9.39560439560437,6.791068435027196,2.818704199865773,1.887274931707526,7.60565389271131,7.878563292634136,1.4935313093548748,4.0299660451856045,6.13806375414789,3.5172624555924386,1.7912597563599972,6.588953989478649,7.714223147336992,1.9635691825845716,3.678391124505585,8.3470102542602,4.213180664209041,2.9957073696681067,6.277834428529131,4.421902207686745,1.4064059483472906,2.0956100359110343,13.231909462578704,10.617947858541983,7.243262118453927,16.274505878846735,9.636671348626836,1.4659068917981366,2.2468475684986706,2994,2.994543900804289,0.1092086155300893,0.990313961255845,0.9355377421509686,0.052438209752839,0.0040080160320641,6,3,5066.608094009115,6.259952775794849,0.2086650925264949,0.1688869364669705,0.9074652100403172,0.3593185574145469,3.063859150734816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.1891891891891892,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,37.0,5.0,79.0,0.427027027027027,3.0588235294117645,2.0,13.0,0.2166666666666666,2,121.0,1,2.0,101.0,,101.0,0.0033666666666666667,-1.1968983160802193,-1.579743050723408,-1.6048456042121015,-0.4351961055560804,-0.20789989975005463,-0.5974995567270449,1.1986566681273638,-0.9623404582349694,-0.6832940204691756,-1.306286961069764,0.18168667617878756,0.38335155661145676,0.8360627636393686,1.3182881570653993,-2.5046719746171937,-1.8054000172576303,-1.5136562155123483,0.757914181136879,1.3104750290964753,-0.2808959792259991,2.1878273071305236,-1.5105483324444016,-1.0463926243358983,-1.0357640256732783,0.32597690604828927,-0.038880751744141656,0.36128817087547366,2.088476363176028
subject_19_task_5_repeat_1,19,5,1.0,5,33,160.0,190.0,0.8509149434939295,12.0,0.2638888888888889,hr_first,低,3.8666666666666663,5,78.2,1.6431676725154982,77.0,81.0,-0.4263565891473702,6.740277079270698,2.8334859956919947,1.777589210535333,7.3355099584500705,7.488896885227705,1.5940049472052495,4.126662062851367,5.5443551603877905,3.595925250923198,1.8673744080810315,6.2291422961451985,7.528888518737226,1.9256584193088924,3.335775765796451,8.233927737817918,4.18449513144183,3.0586678409878627,6.066370490242097,4.367552795402618,1.3680776563467438,1.9833374546099232,13.386790359471869,10.950903803802582,7.119412840848393,14.662398937538084,9.279468197710314,1.5381751344676349,2.059495532189256,2994,2.9930402144772117,0.11205588791393,0.9923179692718772,0.9458917835671342,0.0424181696726786,0.0033400133600534,6,3,5066.608094009115,6.259952775794849,0.2086650925264949,0.1688869364669705,0.9074652100403172,0.3593185574145469,3.063859150734816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.1842105263157894,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,42.0,5.0,79.0,0.4157894736842105,3.0588235294117645,2.0,9.0,0.15,1,101.0,1,2.0,101.0,,101.0,0.0033666666666666667,-1.207396166395429,-1.5644185239961643,-1.8321072760697366,-0.5381358543108958,-0.3117782747318228,-0.17940908202534173,1.3488399149235162,-1.3364439101280714,-0.5643169993645534,-1.114380037384493,0.039530322891896244,0.33376346743540214,0.6930450713196534,0.901599773902163,-2.5771415782832254,-1.872777639722793,-1.310144854141683,0.5384580333582726,1.256514115476042,-0.5583010916695954,1.6915289359400962,-1.4442623471586293,-0.7996147208061137,-1.1123653082342115,-0.1665292728699752,-0.1615940145278013,0.6720037884541405,1.3528824151010632
subject_19_task_5_repeat_1,19,5,1.0,5,34,165.0,195.0,0.8733074420069277,12.0,0.2708333333333333,hr_first,低,3.8666666666666663,3,78.33333333333333,2.3094010767585034,77.0,81.0,-42.857142857142705,6.242165283340864,2.8152166614777467,1.8977752142927509,7.213247253309537,7.16949545543949,1.483429987005548,3.800896544008094,5.863337937522824,3.462510443373929,1.9293680878705235,6.034032445023914,6.775234664714358,1.794634453188018,3.12746566244069,7.9875297955526765,4.225710064372945,3.2280455236657284,6.06405569569706,4.092999369069977,1.309061484230334,1.878553338619213,15.160636570097571,11.139982411458329,7.181524297937552,14.235351368623546,9.27104065449873,1.551200267422001,1.982218645798047,2994,3.0250083780160857,0.1439264194326759,0.9906479625918504,0.9362057448229792,0.0514362057448229,0.0033400133600534,6,3,5066.608094009115,6.259952775794849,0.2086650925264949,0.1688869364669705,0.9074652100403172,0.3593185574145469,3.063859150734816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.1794871794871795,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,47.0,5.0,79.0,0.4051282051282051,3.0588235294117645,2.0,5.0,0.0833333333333333,1,101.0,1,2.0,101.0,,101.0,0.0033666666666666667,-1.3103487849272282,-1.583358638157297,-1.5830897024429949,-0.5847246929004742,-0.39692521288871313,-0.6395331363455534,0.8428777823026332,-1.1354487430126647,-0.7661061209780788,-0.9580761444108429,-0.03755473420780753,0.1321160213886659,0.19875944755313327,0.6482532791889217,-2.735047166006875,-1.775970506541922,-0.7626539909853782,0.5360557519202752,0.9839232428263218,-0.9854369489551152,1.2283331539410627,-0.6850909698268953,-0.6594747921945507,-1.0739491190828154,-0.2969942941369269,-0.16448920546352006,0.7280050426768093,1.0494727961014043
subject_19_task_5_repeat_1,19,5,1.0,5,35,170.0,200.0,0.8956999405199259,12.0,0.2777777777777778,hr_first,低,3.8666666666666663,4,77.5,2.516611478423583,75.0,81.0,-21.118012422360376,6.786811877824927,2.8109235922711657,1.9410167521820911,6.84271409549694,6.460263554097349,1.4481707018299173,3.5253245948569787,5.298282932836389,3.3792005645498033,2.123547080147864,5.6219277076077985,5.848431988862001,1.591300045165237,2.6474231535362707,10.3491337468754,4.407381650343744,3.708545661558497,6.086598037241444,4.11580865265487,1.1884393647971332,1.6412358354740018,17.99391579183413,10.504328930856255,8.131914731230216,14.367388002991447,9.63656121716705,1.2917411554396778,1.7667902920592864,2995,3.03755959933222,0.1460245585986626,0.995659432387312,0.9378964941569282,0.0550918196994991,0.0006677796327212,6,3,5066.608094009115,6.259952775794849,0.2086650925264949,0.1688869364669705,0.9074652100403172,0.3593185574145469,3.063859150734816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.175,9.0,13.0,4.0,9.0,26.0,0.7428571428571429,0.1142857142857142,0.2571428571428571,4.0,52.0,5.0,79.0,0.395,3.0588235294117645,2.0,1.0,0.0166666666666666,1,20.0,0,0.0,,,,0.0,-1.1977780858698224,-1.5878093324147196,-1.493496051697887,-0.7259182765167982,-0.5859942627126764,-0.7862539239284152,0.4148737026257062,-1.491497198407071,-0.8921118288785412,-0.46849506889299336,-0.20037130667821781,-0.11585908227110849,-0.5683160553362901,0.0644261628604286,-1.2215992188536502,-1.3492536792296035,0.7904988865513817,0.5594500737952669,1.0065694818478952,-1.8584524385071843,0.1792765730643407,0.5274969514069345,-1.1306038876417415,-0.4861287657357871,-0.2566564873801524,-0.038918586210973334,-0.38753333542776675,0.20364375481853803
