sample_id,subject,task,repeat_id,label_task,window_id,window_start_sec,window_end_sec,progress_end_ratio,task_required_time_min,elapsed_required_ratio,anchor_source,task_difficulty,nasa_tlx_weighted_task_label,hr_n,hr_mean,hr_std,hr_min,hr_max,hr_slope_bpm_per_min,eeg_frontal_delta_power,eeg_frontal_theta_power,eeg_frontal_alpha_power,eeg_frontal_beta_power,eeg_frontal_gamma_power,eeg_frontal_theta_alpha,eeg_frontal_beta_alpha,eeg_central_delta_power,eeg_central_theta_power,eeg_central_alpha_power,eeg_central_beta_power,eeg_central_gamma_power,eeg_central_theta_alpha,eeg_central_beta_alpha,eeg_parietal_delta_power,eeg_parietal_theta_power,eeg_parietal_alpha_power,eeg_parietal_beta_power,eeg_parietal_gamma_power,eeg_parietal_theta_alpha,eeg_parietal_beta_alpha,eeg_occipital_delta_power,eeg_occipital_theta_power,eeg_occipital_alpha_power,eeg_occipital_beta_power,eeg_occipital_gamma_power,eeg_occipital_theta_alpha,eeg_occipital_beta_alpha,eye_n,eye_pupil_filtered_mean,eye_pupil_filtered_std,eye_valid_ratio,eye_fixation_ratio,eye_saccade_ratio,eye_eyes_not_found_ratio,eye_aoi_interval_n,eye_aoi_unique_hit_n,eye_aoi_total_fix_ms,eye_aoi_fixation_n,eye_aoi_fixation_density_per_sec,eye_aoi_coverage_ratio,eye_aoi_max_share,eye_aoi_entropy,eye_aoi_pupil_weighted_mean,log_action_count_win,log_unique_device_count_win,log_action_density_win,log_correct_action_count_win,log_error_action_count_win,log_duplicate_action_count_win,log_extra_action_count_win,log_disallowed_action_count_win,log_error_rate_win,log_duplicate_rate_win,log_extra_rate_win,log_unique_step_count_win,log_action_count_cum,log_unique_device_count_cum,log_action_density_cum,log_correct_action_count_cum,log_error_action_count_cum,log_duplicate_action_count_cum,log_extra_action_count_cum,log_disallowed_action_count_cum,log_error_rate_cum,log_duplicate_rate_cum,log_extra_rate_cum,log_unique_step_count_cum,log_time_since_last_action_sec,log_cum_gap_count,log_cum_idle_gap_total_sec,log_cum_idle_ratio,log_cum_mean_inter_action_sec,log_action_type_diversity_cum,log_recent_60s_action_count,log_recent_60s_action_density
subject_15_task_3,15,3,,3,1,0.0,30.0,0.0805774718818197,10.0,0.05,eye,低,2.2666666666666666,6,71.0,1.4142135623730951,69.0,73.0,8.170731707317055,9.71512429980998,3.1395091747071144,2.1329280760484104,7.584918614106616,6.675741685951232,1.4719245388356257,3.5561061337609137,5.213378775857987,2.5133260154578827,1.2665223464674875,1.7197759072443988,1.0057333780884072,1.9844308491420692,1.3578725334306971,6.109937158063752,2.912494469002284,1.9856094732664304,2.4678604119684437,1.4084814482863046,1.4668012558436678,1.242873004583669,11.6300316817242,8.702733378883709,9.682206714270398,25.928859154359102,20.277903318585206,0.8988377996574826,2.677990660552941,2952,2.795213675213675,0.1499322595022951,0.9773035230352304,0.8590785907859079,0.1094173441734417,0.0172764227642276,2,2,787.8916450204093,2.9604087574572544,0.0986802919152418,0.0262630548340136,0.5700483091787439,0.6833012928135678,2.731900579710145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_15_task_3,15,3,,3,2,5.0,35.0,0.0940070505287896,10.0,0.0583333333333333,eye,低,2.2666666666666666,6,71.83333333333333,1.4719601443879746,70.0,74.0,8.643533123028329,9.992433123428874,3.196953587431151,2.0112055237908417,6.952005600428671,5.969511347426825,1.5895708069682206,3.456636091236022,4.909504369434074,2.6119606974032066,1.3762821079647212,1.6540541783116247,0.8713621677310727,1.8978381556277268,1.2018278583579638,5.971712660963281,3.059826497680347,1.9991529481678427,2.3298547500202424,1.2424957413068811,1.530561481293653,1.165420960990242,12.104527626922014,7.926315202991304,9.093480420479592,22.47002823853805,18.224667569083135,0.871648129921774,2.471004191962946,2995,2.7760242587601076,0.1488249653945692,0.9813021702838064,0.8707846410684474,0.1015025041736227,0.013355592654424,2,2,1053.783803842092,3.959466788456598,0.1319822262818866,0.0351261267947363,0.5700483091787439,0.6833012928135678,2.7319005797101448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_15_task_3,15,3,,3,3,10.0,40.0,0.1074366291757596,10.0,0.0666666666666666,eye,低,2.2666666666666666,6,71.83333333333333,1.4719601443879744,70.0,74.0,4.382871536523884,10.446202064856047,3.1859636240902582,1.9583004076188064,6.485215774902944,5.718680048429884,1.6269023954114514,3.311655223923808,4.8502714841118495,2.7605781530523963,1.3293345812440356,1.647381854042166,0.8569405638093724,2.0766616561414923,1.239252989642751,5.625765724539553,2.9845637436268317,1.8301204000009492,2.2294181466051057,1.2368343265337276,1.6308018552360182,1.218181135297956,11.561148891892657,7.927551286868376,9.138958132627293,21.318719365709715,17.952367928612713,0.8674458479644377,2.3327297331190366,2995,2.731372733378106,0.0865546989517704,0.9853088480801336,0.8941569282136895,0.0888146911519198,0.010016694490818,2,2,1319.675962663774,4.958524819455942,0.1652841606485314,0.0439891987554591,0.570048309178744,0.6833012928135677,2.7319005797101457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_15_task_3,15,3,,3,4,15.0,45.0,0.1208662078227295,10.0,0.075,eye,低,2.2666666666666666,6,71.5,2.073644135332772,68.0,74.0,-4.4117647058823515,11.254651723438888,3.283936384440301,1.9439776964881688,6.47690499719716,5.635060609289481,1.6892870686596828,3.3317794792079183,5.114577469623062,2.8852470840348325,1.2624256707904329,1.6095449639300947,0.8296085106045238,2.285478781676164,1.2749621630573489,6.111829408305935,3.2280915465021245,1.7608033156956997,2.216284809790162,1.1775794093642542,1.833306149373472,1.2586782351182138,13.64084801745225,8.179842434804558,9.665885838943224,22.718462269853433,18.27165330356638,0.8462589535093105,2.350375604305425,2994,2.727893503014066,0.0811666444143173,0.9916499665998664,0.8987975951903807,0.0908483633934535,0.0046760187040748,2,2,1585.568121485457,5.957582850455285,0.1985860950151761,0.0528522707161818,0.5700483091787439,0.6833012928135678,2.731900579710145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_15_task_3,15,3,,3,5,20.0,50.0,0.1342957864696995,10.0,0.0833333333333333,eye,低,2.2666666666666666,6,71.16666666666667,2.3166067138525404,68.0,74.0,-9.57983193277322,11.883451203635884,3.5422535255913377,1.907054283962532,6.663805603725782,5.634748074044582,1.8574476643796116,3.4942925640687776,4.9210954027264995,3.0937660646289555,1.1950023589844747,1.6066219378004598,0.8787629679457543,2.588920466448342,1.344450850428265,5.987978551747499,3.392866397792883,1.7744656618292118,2.28603703586961,1.3125079094589176,1.912049621910034,1.2882960121713731,11.32615779155526,8.230528598609256,9.879586202012211,23.392375181283956,18.99550918691253,0.8330843448618237,2.367748476805592,2994,2.7346018704074817,0.0818247853607962,0.990313961255845,0.894121576486306,0.094188376753507,0.0036740146960587,2,2,1595.3529529300945,5.994348185996061,0.1998116061998686,0.0531784317643364,0.5700483091787439,0.6833012928135678,2.7319005797101448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_15_task_3,15,3,,3,6,25.0,55.0,0.1477253651166694,10.0,0.0916666666666666,eye,低,2.2666666666666666,6,70.66666666666667,2.422120283277993,68.0,74.0,-14.55175400606323,11.015820232990428,3.121254350439578,1.7505147182599878,6.494327896110389,5.451114933396711,1.7830494756091546,3.709953323080741,4.938985382825933,2.836523850415754,1.1636554608488014,1.55319887598292,0.8382542562632079,2.4375976789098015,1.3347583784378714,5.815254684777788,3.104700909845199,1.7585072689697347,2.1790926341458983,1.2014355960415812,1.7655320308480529,1.239171809294012,10.233008785641102,7.717055088868715,8.99314987249788,22.3869018836063,18.218386719401497,0.8581036898393506,2.4893282332665336,2994,2.7570120240480964,0.0905736582015882,0.9919839679358716,0.8924515698062793,0.0971943887775551,0.0023380093520374,2,2,1341.000513801273,5.038649273542089,0.1679549757847363,0.044700017126709,0.570048309178744,0.6833012928135677,2.7319005797101457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_15_task_3,15,3,,3,7,30.0,60.0,0.1611549437636394,10.0,0.1,eye,低,2.2666666666666666,6,70.0,2.1908902300206643,68.0,74.0,-12.396226415094487,10.070951706623823,3.2262674294754436,1.809369348338078,6.961951346057656,5.708715014564318,1.7830894684044467,3.847722607024526,4.584463137414594,2.881297697854516,1.175373915456346,1.6643976823469837,0.8549489121407814,2.4513881582405497,1.4160580394544244,5.955081255601916,3.231637135715159,1.7949363525308848,2.2032369900779942,1.176660116903086,1.800418789868792,1.2274736020424346,10.524426601185516,8.356791515139887,10.224517800953018,23.53123068446105,18.46933917165049,0.8173286679945883,2.301451387983082,2994,2.7681713426853705,0.1197515987632271,0.9873079492317968,0.8907815631262525,0.0958583834335337,0.0056780227120908,2,2,1075.1083549795908,4.039591242542746,0.1346530414180915,0.0358369451659863,0.5700483091787439,0.6833012928135678,2.7319005797101448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_15_task_3,15,3,,3,8,35.0,65.0,0.1745845224106093,10.0,0.1083333333333333,eye,低,2.2666666666666666,6,69.16666666666667,0.9831920802501752,68.0,71.0,-3.2221594120972403,11.10089179283144,2.997800373326419,1.8040362124193192,7.003640087573171,5.844134807436421,1.6617185135691876,3.882205933206227,4.916816338637918,2.712574287302523,1.1344407195062318,1.6244933098566443,0.8783284143391809,2.3911115324590764,1.4319772570960865,6.1745033474830695,3.165076409267386,1.816529287562993,2.1445077686447123,1.2049771810198011,1.7423756561137351,1.1805522670772497,10.09747006538038,8.334047883675511,9.574386239916246,20.240039322507517,17.071974118687383,0.8704524420510965,2.1139777334368928,2995,2.7660200333889815,0.1288460821747501,0.986644407345576,0.89449081803005,0.0914858096828046,0.0070116861435726,2,2,809.2161961579081,3.0405332115434014,0.1013511070514467,0.0269738732052636,0.5700483091787439,0.6833012928135678,2.731900579710145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_15_task_3,15,3,,3,9,40.0,70.0,0.1880141010575793,10.0,0.1166666666666666,eye,低,2.2666666666666666,6,69.0,0.6324555320336759,68.0,70.0,3.799071338117313,10.745788824588082,3.0545342653491754,1.7569444421491642,7.45676699560352,5.973817640593134,1.738549149347459,4.244167781698382,5.189579740728635,2.7878152684242714,1.139612654011868,1.720757719709499,0.8674232855435885,2.446283181052883,1.509949642671815,6.856552334266875,3.222555074865438,1.794776071088123,2.2094666370665244,1.209492858390683,1.7955193000270455,1.2310542093014345,11.356402910003936,8.550096653268032,9.392367243542273,22.005438133402336,16.922621444370723,0.910323929161379,2.3429064859588187,2995,2.7672934891485808,0.1283526593075322,0.986644407345576,0.896160267111853,0.0898163606010016,0.0070116861435726,2,2,543.3240373362257,2.041475180544058,0.0680491726848019,0.0181108012445408,0.5700483091787439,0.6833012928135678,2.7319005797101448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
subject_15_task_3,15,3,,3,10,45.0,75.0,0.2014436797045492,10.0,0.125,eye,低,2.2666666666666666,6,69.33333333333333,0.5163977794943223,69.0,70.0,2.989807474518716,10.040901958942824,2.7810491323702187,1.6638779274675228,7.136853819979381,5.872465344560395,1.6714261824502157,4.289289317541407,5.049153429257207,2.687702542424462,1.1711634400314646,1.68233669196095,0.8437139248009404,2.2948996276320357,1.436466196311381,6.305621092196084,3.1364733513854564,1.8774473753794936,2.116198896562272,1.17339632965054,1.6706052017844029,1.1271681562496627,10.990219016111295,8.399429796637326,8.261575145479327,19.49818540107761,15.145451125730212,1.0166862430868806,2.3601050717001435,2995,2.7605108514190317,0.1268126164009975,0.986644407345576,0.8998330550918197,0.086143572621035,0.0070116861435726,2,2,277.43187851454337,1.0424171495447148,0.0347472383181571,0.0092477292838181,0.5700483091787439,0.6833012928135678,2.7319005797101448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
