sample_id,subject,task,repeat_id,label_task,window_id,window_start_sec,window_end_sec,progress_end_ratio,task_required_time_min,elapsed_required_ratio,anchor_source,task_difficulty,nasa_tlx_weighted_task_label,hr_n,hr_mean,hr_std,hr_min,hr_max,hr_slope_bpm_per_min,eeg_frontal_delta_power,eeg_frontal_theta_power,eeg_frontal_alpha_power,eeg_frontal_beta_power,eeg_frontal_gamma_power,eeg_frontal_theta_alpha,eeg_frontal_beta_alpha,eeg_central_delta_power,eeg_central_theta_power,eeg_central_alpha_power,eeg_central_beta_power,eeg_central_gamma_power,eeg_central_theta_alpha,eeg_central_beta_alpha,eeg_parietal_delta_power,eeg_parietal_theta_power,eeg_parietal_alpha_power,eeg_parietal_beta_power,eeg_parietal_gamma_power,eeg_parietal_theta_alpha,eeg_parietal_beta_alpha,eeg_occipital_delta_power,eeg_occipital_theta_power,eeg_occipital_alpha_power,eeg_occipital_beta_power,eeg_occipital_gamma_power,eeg_occipital_theta_alpha,eeg_occipital_beta_alpha,eye_n,eye_pupil_filtered_mean,eye_pupil_filtered_std,eye_valid_ratio,eye_fixation_ratio,eye_saccade_ratio,eye_eyes_not_found_ratio,eye_aoi_interval_n,eye_aoi_unique_hit_n,eye_aoi_total_fix_ms,eye_aoi_fixation_n,eye_aoi_fixation_density_per_sec,eye_aoi_coverage_ratio,eye_aoi_max_share,eye_aoi_entropy,eye_aoi_pupil_weighted_mean
subject_09_task_4,9,4,,4,1,0.0,30.0,0.03339304659373533,22.0,0.022727272727272728,eye,中,5.2,0,,,,,,10.400416490376575,5.189601491286359,7.144325047763914,62.668024063164275,101.13188615034841,0.7263949297646585,8.771720721578674,4.032608224851469,2.53473685103496,4.548616792517443,11.027592915986721,11.118748041415273,0.557254428468155,2.4243838113879614,6.3242527143697504,3.216669127409895,4.061069733420651,8.651527402055025,6.342142373286646,0.7920743396593894,2.1303567704974666,8.594896882289456,8.037225069730708,33.290120991342754,45.20668887673617,35.89890709170934,0.24142973441943405,1.357961086668696,2706,2.9042264640474427,0.1136898229231067,0.9733924611973392,0.8152254249815225,0.11751662971175167,0.010347376201034738,8,5,2631.736550308008,7.978182751540042,0.2659394250513347,0.0877245516769336,0.3684316895715441,1.5076569010999792,2.8481252809215842
subject_09_task_4,9,4,,4,2,5.0,35.0,0.038958554359357876,22.0,0.026515151515151516,eye,中,5.2,1,83.0,,83.0,83.0,,8.327460706471381,5.085875596585827,7.148343827270131,64.83127363458033,107.61580529422697,0.7114760732666189,9.069411768815076,4.29967481168507,2.3975255297044082,4.777164206643039,10.89297145358434,11.16313645261719,0.5018721203617937,2.280217087458867,6.193288499449387,3.1459713780590577,3.975089489684459,7.585179429491212,5.539799919059902,0.7914215230180349,1.9081782810613706,8.76650937906183,7.821206995389361,35.91333193313438,46.79085682853735,35.68502222782116,0.21778004363258077,1.3028826430155633,2813,2.8885159212880143,0.115628304540219,0.9726270885175968,0.8403839317454674,0.10238179879132599,0.0135087095627444,8,5,3266.7468172484605,9.9032340862423,0.33010780287474334,0.10889156057494868,0.36843168957154404,1.5076569010999792,2.8481252809215842
subject_09_task_4,9,4,,4,3,10.0,40.0,0.04452406212498043,22.0,0.030303030303030304,eye,中,5.2,3,82.0,1.0,81.0,83.0,-17.419354838709587,13.14245861049939,5.6803911645671645,8.265470348312258,73.04614193512664,115.95764693395085,0.6872435475770662,8.83750577485794,4.621897599116566,2.6982183788620056,4.4014185523302105,11.479442410676599,11.818837096982913,0.6130338087100369,2.608123329829453,6.909855955145401,3.2394144097571305,3.900978225642935,7.6567069088291095,5.243794437962466,0.8304107899046861,1.9627658669043657,9.19565144919092,9.635983406240888,37.799005866250546,48.940696167961256,37.05432405790456,0.2549269004676266,1.2947614638632268,2784,2.8711867339581834,0.10283656584992452,0.9838362068965517,0.8451867816091954,0.10201149425287356,0.007543103448275862,8,5,3810.061601642711,11.550308008213554,0.38501026694045176,0.12700205338809037,0.36843168957154404,1.5076569010999792,2.8481252809215842
subject_09_task_4,9,4,,4,4,15.0,45.0,0.05008956989060299,22.0,0.03409090909090909,eye,中,5.2,4,82.5,1.2909944487358056,81.0,84.0,5.5813953488372094,11.17744225670017,4.851582762922084,7.904748784674819,77.84657231399855,131.1789820258437,0.6137554646047699,9.848076698518504,4.291606229522749,2.384820929255609,4.4091864356395165,11.414327409144322,12.306021746982315,0.5408755025596258,2.588760438180194,6.804724617607853,3.0991850522046906,3.9049782095305225,7.372052197095187,5.269816671793698,0.793649768554609,1.8878600088223014,8.755861113831259,8.832238334594429,39.06677792410767,46.492069291380126,34.958201083299194,0.22608054218733392,1.19006664388082,2744,2.8586316752011705,0.08585175596225736,0.9919825072886297,0.8542274052478134,0.09183673469387756,0.005466472303206997,8,5,3810.061601642711,11.550308008213554,0.38501026694045176,0.12700205338809037,0.36843168957154404,1.5076569010999792,2.8481252809215842
subject_09_task_4,9,4,,4,5,20.0,50.0,0.05565507765622554,22.0,0.03787878787878788,eye,中,5.2,5,82.8,1.3038404810405297,81.0,84.0,6.679920477137155,13.007224177385105,4.9437373737797365,8.350804297967024,81.27621511350537,135.21018342018968,0.5920073321540146,9.73274096883001,4.35994670777812,2.3371255052300106,3.7805767949564277,11.346422854065622,12.600688233909372,0.618192839872453,3.0012412045703183,6.878331523686945,2.9844497972506208,3.6731994235722976,7.014955040683541,4.1569958561351585,0.8124932662512925,1.9097669992176152,9.774197770423797,8.709477846288692,34.19441964579722,46.30740565980773,33.77138129715723,0.25470465463387854,1.3542386781083824,2709,2.8467636161541314,0.09522945872942137,0.9900332225913622,0.8593576965669989,0.08970099667774087,0.005537098560354375,8,5,3586.2839835728946,10.871919917864476,0.3623973305954825,0.11954279945242982,0.3684316895715441,1.5076569010999792,2.8481252809215842
subject_09_task_4,9,4,,4,6,25.0,55.0,0.0612205854218481,22.0,0.041666666666666664,eye,中,5.2,6,83.0,1.2649110640673518,81.0,84.0,5.860096788385336,11.241571158377019,4.682749684014984,8.143880142077176,82.1404214340252,119.63607674301491,0.5750022842085447,10.086153037742827,4.079851831284345,2.2905747783335473,3.6178497429034864,11.362137539264374,11.243825594963356,0.6331315397568884,3.1405775105921756,6.693649960061994,2.9498297609029587,3.4017496277795543,6.405697362332742,4.005183855965744,0.8671507558386712,1.883059620267813,8.512228007634262,8.294228165575056,34.796069061078235,45.44160920537263,33.36045220906311,0.23836681525766695,1.305940884460485,2723,2.8531721341688168,0.1036445996109728,0.9849430774880646,0.8479618068307014,0.09731913330885053,0.007712082262210797,16,7,3168.6204184124354,9.45059672987669,0.3150198909958897,0.10562068061374784,0.386726113970857,1.512101337882951,2.8435943362779703
subject_09_task_4,9,4,,4,7,30.0,60.0,0.06678609318747065,22.0,0.045454545454545456,eye,中,5.2,6,83.0,1.2649110640673518,81.0,84.0,5.860096788385336,13.655809402658099,4.972984852609677,8.491474049763573,79.44385885798667,109.27261527205523,0.5856444739118222,9.355720619578248,4.371337525745061,2.3517393383607463,3.5688330496200873,11.228891891803917,10.869370338631997,0.6589659156544451,3.1463763464640815,7.303103958183106,3.010240942200503,3.760366090405694,6.9666447123148725,3.8659532829055907,0.8005180532504317,1.8526506581605897,10.243379262312018,8.423893016680923,35.53432606988863,48.23252157944062,33.823688940444164,0.23706353682106923,1.357350115057122,2675,2.846410237109522,0.09709504418869949,0.9816822429906542,0.8474766355140186,0.09308411214953272,0.010841121495327103,16,7,3252.349244659787,9.191313076108528,0.30637710253695094,0.10841164148865957,0.4451951231071217,1.4872302792100969,2.8291134300750187
subject_09_task_4,9,4,,4,8,35.0,65.0,0.0723516009530932,22.0,0.04924242424242424,eye,中,5.2,6,82.83333333333333,1.3291601358251257,81.0,84.0,3.1462333825702697,12.455650963134671,4.9437267334019,9.697506923488328,81.41799958103624,122.8175866638736,0.5097935760610494,8.395766068888667,4.144686249517214,2.2795697666844394,3.6902009595827416,11.240074805941182,11.650883850291846,0.6177359422025067,3.0459248504482854,7.093930232169831,3.238746744842402,4.348673177346102,8.446417108596716,5.162314891907399,0.7447666478396835,1.9422975156186317,9.850879107331771,8.93108495130985,32.9372902686111,45.826496671953386,34.02526719840677,0.2711542108799728,1.3913256463488002,2662,2.8495022607385083,0.0922578890264261,0.9853493613824192,0.8519909842223892,0.09278737791134485,0.007137490608564989,16,7,3336.0780709071387,8.93202942234037,0.2977343140780124,0.1112026023635713,0.5007292240051665,1.4229564680579017,2.8153594069087347
subject_09_task_4,9,4,,4,9,40.0,70.0,0.07791710871871575,22.0,0.05303030303030303,eye,中,5.2,5,83.0,1.4142135623730951,81.0,84.0,-9.17496443812227,10.175067575955921,5.043342496582705,9.925765719549085,83.55988563875752,123.61238875066,0.5081061390205588,8.418482563434264,4.172208280938005,2.3153619345381857,3.750627886345725,11.201019060109951,11.336839242577737,0.6173264863110871,2.986438377661405,6.976518788466223,3.1781567087474585,4.095035547391426,7.567109207761303,4.548106987179329,0.7760999073065368,1.8478738756203519,10.271136544943293,7.658324260546728,33.24195755894855,46.767251411593726,33.22023170260777,0.23038126581342527,1.406874168847022,2671,2.8457296282388285,0.0900760454508389,0.9853987270685136,0.8625982777985773,0.08798202920254586,0.00711344065892924,16,7,3419.8068971544903,8.67274576857221,0.28909152561907364,0.11399356323848302,0.5535439871015568,1.3227217327688172,2.802278876866786
subject_09_task_4,9,4,,4,10,45.0,75.0,0.08348261648433832,22.0,0.056818181818181816,eye,中,5.2,6,81.83333333333333,1.834847859269718,80.0,84.0,-11.921824104234448,10.513474118299108,5.012080051577784,9.305809942053818,88.71647850465911,113.99662303809026,0.5385968639793222,9.533450506413322,4.046380817980793,2.299300605587294,3.6641744154934215,11.483316721337223,10.982977083790606,0.6275085039252063,3.1339438081281585,6.761092974856392,3.258076319842771,4.321278509347463,8.493710538951614,4.930139650381628,0.7539611975472412,1.9655549903989435,9.582650150962557,9.780361314250063,31.962452014633076,45.98100831268056,34.35863526081157,0.3059953382103604,1.4385945199582777,2689,2.8271044386422974,0.10071472338447099,0.9817776124953514,0.8754183711416884,0.08144291558200074,0.009669021941242098,16,7,3503.535723401842,8.413462114804052,0.2804487371601351,0.11678452411339474,0.6038343756964656,1.1816296907134272,2.7898235537663783
